sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-24 05:45;28.14;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 06:00;28.142;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 06:15;28.12;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 06:30;28.109;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 06:45;28.113;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 07:00;28.088;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 07:15;28.085;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 07:30;28.091;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 07:45;28.089;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 08:00;28.086;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 08:15;28.077;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 08:30;28.067;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 08:45;28.048;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 09:00;28.038;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 09:15;28.037;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 09:30;28.048;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 09:45;27.992;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 10:00;28.038;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 10:15;28.014;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 10:30;27.968;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 10:45;27.995;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 11:00;27.984;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 11:15;27.995;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 11:30;27.978;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 11:45;27.979;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 12:00;27.978;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 12:15;27.951;Ankdammen;NivÂ;FALSE
